,postal_code,Food_Services,Active_Life,Arts_and_Entertainment,Automotive,Beauty_and_Spas,Education,Event_Planning and Services,Financial_Services,Health_and_Medical,Home_Services,Hotels_and_Travel,Local_Services,Nightlife,Pets_Services,Professional_Services,Real_Estate,Restaurants,Shopping
125,10044,9.0,5.0,3.0,5.0,7.0,3.0,3.0,2.0,8.0,4.0,4.0,7.0,-0.0,2.0,3.0,2.0,24.0,10.0
126,10065,10.0,-2.0,1.0,0.0,-1.0,1.0,3.0,0.0,2.0,-0.0,-0.0,-1.0,13.0,1.0,-1.0,-2.0,85.0,-4.0
127,10075,10.0,7.0,3.0,2.0,-9.0,-1.0,3.0,-0.0,-8.0,-5.0,2.0,2.0,15.0,-1.0,0.0,-3.0,50.0,-1.0
128,11101,-10.0,-5.0,2.0,-49.0,20.0,-1.0,-6.0,-2.0,10.0,-17.0,-19.0,-14.0,0.0,-1.0,-3.0,1.0,-19.0,-2.0
129,11102,7.0,1.0,2.0,7.0,14.0,4.0,-1.0,4.0,12.0,1.0,4.0,2.0,12.0,-2.0,4.0,2.0,85.0,19.0
130,11103,6.0,-1.0,4.0,4.0,-5.0,3.0,-0.0,1.0,8.0,3.0,-1.0,3.0,-11.0,0.0,4.0,3.0,13.0,10.0
131,11104,-19.0,-2.0,-3.0,-5.0,-20.0,0.0,1.0,-5.0,-12.0,2.0,2.0,-18.0,-7.0,-1.0,-0.0,-2.0,10.0,-14.0
132,11105,-4.0,-4.0,2.0,3.0,-11.0,0.0,-1.0,2.0,5.0,0.0,0.0,-2.0,10.0,-4.0,-3.0,-5.0,13.0,-1.0
133,11106,14.0,7.0,1.0,4.0,8.0,5.0,1.0,3.0,11.0,6.0,3.0,12.0,-3.0,0.0,2.0,-1.0,2.0,13.0
134,10128,22.0,-2.0,-2.0,-5.0,16.0,-0.0,-2.0,-1.0,9.0,-8.0,-1.0,2.0,16.0,-4.0,-1.0,0.0,97.0,7.0
135,11691,13.0,5.0,-2.0,10.0,6.0,4.0,3.0,1.0,-5.0,11.0,0.0,10.0,5.0,0.0,1.0,1.0,22.0,16.0
136,11692,8.0,-2.0,2.0,8.0,10.0,3.0,2.0,1.0,8.0,7.0,5.0,9.0,2.0,2.0,1.0,1.0,10.0,17.0
137,11693,-1.0,-8.0,-1.0,7.0,9.0,-0.0,2.0,2.0,-0.0,2.0,1.0,4.0,-2.0,0.0,1.0,2.0,4.0,5.0
138,11694,-5.0,-1.0,5.0,1.0,6.0,2.0,2.0,0.0,13.0,2.0,-1.0,7.0,-2.0,1.0,2.0,2.0,-1.0,8.0
139,11697,8.0,2.0,2.0,3.0,9.0,2.0,2.0,2.0,10.0,2.0,0.0,5.0,-2.0,1.0,3.0,2.0,11.0,12.0
140,11201,-35.0,-6.0,1.0,0.0,-7.0,-4.0,-3.0,0.0,3.0,-1.0,0.0,-1.0,-0.0,-5.0,4.0,-2.0,-43.0,-31.0
141,11203,-14.0,-2.0,-1.0,-6.0,-3.0,-3.0,0.0,3.0,0.0,5.0,3.0,0.0,-9.0,1.0,2.0,1.0,-30.0,-3.0
142,11204,-0.0,0.0,2.0,3.0,-6.0,-0.0,-1.0,-1.0,-7.0,-12.0,2.0,-2.0,8.0,2.0,1.0,-1.0,32.0,-5.0
143,11205,6.0,5.0,8.0,4.0,19.0,4.0,3.0,2.0,11.0,6.0,5.0,11.0,6.0,-0.0,3.0,-1.0,19.0,20.0
144,11206,7.0,-1.0,1.0,4.0,6.0,3.0,2.0,1.0,7.0,1.0,6.0,7.0,-2.0,1.0,0.0,-2.0,49.0,5.0
145,11207,-7.0,3.0,1.0,-8.0,-7.0,3.0,-2.0,-1.0,9.0,-2.0,1.0,-5.0,-14.0,1.0,2.0,-0.0,-31.0,2.0
146,11208,-2.0,-1.0,-1.0,-2.0,-2.0,1.0,4.0,-2.0,-6.0,0.0,-2.0,-4.0,3.0,-2.0,-1.0,-1.0,-3.0,-3.0
147,11209,-16.0,-8.0,-4.0,-5.0,-24.0,0.0,3.0,-2.0,-25.0,-7.0,-5.0,-7.0,9.0,-2.0,1.0,0.0,-43.0,-34.0
148,11210,19.0,2.0,-4.0,7.0,8.0,-6.0,3.0,0.0,2.0,10.0,2.0,4.0,11.0,4.0,-0.0,-2.0,19.0,-0.0
149,11211,-6.0,-1.0,2.0,-1.0,2.0,2.0,-2.0,-2.0,2.0,3.0,3.0,3.0,-15.0,-1.0,1.0,-1.0,-15.0,1.0
